tmdb_id,title,year,native_4k,mastering,hdr,dolby_vision,audio,tmdb_rating,cn_title,genre,date_added,has_local,emby_url
113674,Bakterion,1982,1,Native 4K,HDR10,Dolby Vision,2.0 DTS-HD MA,4.2,裸爱,,,0,
446021,Bad Times at the El Royale,2018,1,Native 4K,HDR10/HDR10+,"Dolby Atmos, True-HD 7.1",,6.8,皇家酒店谋杀案,,,0,
338964,Bad Santa 2,2016,1,Native 4K,SDR,5.1 DTS-HD-MA,,5.4,圣诞坏公公2,,,0,
12143,Bad Lieutenant,1992,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.0,坏中尉,,,0,
573435,Bad Boys: Ride or Die,2024,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.3,绝地战警：生死与共,,2025-03-23,0,
8961,Bad Boys 2,2003,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.7,绝地战警2,,2025-03-23,0,
9737,Bad Boys,1995,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.8,绝地战警,,2025-03-23,0,
13633,Bad Boys,1983,1,Native 4K,HDR10,Dolby Vision,Lossless Mono,7.0,坏小子,,,0,
15991,Bad Biology,2008,1,Native 4K,HDR10,5.1 DTS-HD MA,,4.6,恐怖相亲,,,0,
1083381,Backrooms,2026,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.0,后室,,,0,
2924,Backdraft,1991,1,Native 4K,HDR10,"DTS:X, 7.1 DTS-HD MA",,6.7,回火,,,0,
196,Back to the Future Part III,1990,1,Native 4K,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.5,回到未来3,,,0,
165,Back to the Future Part II,1989,1,Native 4K,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.8,回到未来2,,,0,
105,Back to the Future,1985,1,Native 4K,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1",8.3,回到未来,,,0,
998846,Back to Black,2024,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.7,回到黑暗,,2026-09-11,0,
1121575,Babylon 5: The Road Home,2023,0,Upscaled 4K,HDR10,5.1 DTS-HD MA,,7.1,巴比伦5号：归乡路,,,0,
615777,Babylon,2022,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.3,巴比伦,,,0,
1097549,Babygirl,2024,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",5.7,小心肝儿,,,0,
339403,Baby Driver,2017,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.4,极盗车神,,,0,
16161,Baby Boy,2001,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.1,宝贝男孩,,,0,
40258,Baby Blood,1990,1,Native 4K,SDR,2.0 DTS-HD MA,,5.7,血婴,,,0,
9447,Babe: Pig in the City,1998,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,5.7,小猪宝贝2：小猪进城,,,0,
9598,Babe,1995,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.3,小猪宝贝,,,0,
55689,Baba Yaga,1973,1,Native 4K,HDR10,2.0 DTS-HD MA,,5.5,芭芭·雅嘎,,,0,
987400,Aztec Batman: Clash of Empires,2025,0,Upscaled 4K,HDR10,5.1 DTS-HD MA,,7.6,阿兹特克蝙蝠侠：帝国冲突,,,0,
129,Away,2019,1,Native 4K,SDR,7.1 DTS-HD MA,,8.5,千与千寻,,,0,
11005,Awakenings,1990,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.8,无语问苍天,,,0,
468085,Awaken,2018,1,Native 4K,HDR10,Dolby Vision,7.1 DTS-HD MA,6.7,觉醒,,,0,
299536,Avengers: Infinity War,2018,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,8.2,复仇者联盟3：无限战争,,,0,
299534,Avengers: Endgame,2019,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,8.2,复仇者联盟4：终局之战,,2026-03-27,0,
99861,Avengers: Age of Ultron,2015,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.3,复仇者联盟2：奥创纪元,,2025-03-23,0,
24428,Avengers Assemble,2012,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,8.1,复仇者联盟,,2025-03-23,0,
76600,Avatar: The Way of Water,2022,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.6,阿凡达：水之道,,2025-03-23,0,
83533,Avatar: Fire and Ash,2025,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.6,阿凡达：火与烬,,2026-08-28,0,
980431,Avatar Aang: The Last Airbender,2026,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",9.1,安昂传奇：最后的气宗,,,0,
19995,Avatar,2009,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.6,阿凡达,,2025-03-23,0,
16347,Auntie Mame,1958,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.0,欢乐梅姑,,,0,
11075,Audition,1999,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.1,切肤之爱,,,0,
341013,Atomic Blonde,2017,0,Upscaled 4K,HDR10,Dolby Vision,"DTS:X, 7.1 DTS-HD MA",6.4,极寒之城,,2026-09-11,0,
13715,At Close Range,1986,1,Native 4K,HDR10,Dolby Vision,2.0 DTS-HD MA,6.8,强盗爸爸,,,0,
25993,Asylum,1972,1,Native 4K,HDR10,Dolby Vision,2.0 DTS-HD MA,6.0,精神病院,,,0,
121856,Assassin’s Creed,2016,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,5.4,刺客信条,,2025-03-23,0,
2898,As Good as It Gets,1997,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.4,尽善尽美,,,0,
329865,Arrival,2016,0,Upscaled 4K,HDR10,7.1 DTS HD-MA,,7.6,降临,,2025-03-23,0,
766,Army of Darkness,1992,1,Native 4K,HDR10,5.1 DTS-HD-MA,,7.3,鬼玩人3：魔界英豪,,,0,
490004,Arizona,2018,0,Upscaled 4K,HDR10,5.1 DTS-HD-MA,,5.4,亚利桑那,,,0,
68734,Argo,2012,1,Native 4K,HDR10,5.1 DTS-HD-MA,,7.3,逃离德黑兰,,2025-03-23,0,
555285,"Are You There God? It's Me, Margaret.",2023,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.1,上帝在吗？我是玛格丽特,,,0,
804370,Arco,2025,1,Native 4K,HDR10,Dolby Vision,7.1 DTS-HD MA,7.5,时空奇旅,,,0,
94605,Arcane,2021,0,Upscaled 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.7,De nacht van Aalbers,,,0,
1120025,Arbor Day,1990,1,Native 4K,HDR10,Dolby Vision,2.0 DTS-HD MA,N/A,植树劫,,,0,
23030,Arabesque,1966,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.3,谍海密码战,,,0,
572802,Aquaman and the Lost Kingdom,2023,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.5,海王2：失落的王国,,2025-03-23,0,
297802,Aquaman,2018,0,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.9,海王,,2025-03-23,0,
828900,Aqua Teen Forever: Plantasm,2022,1,Native 4K,SDR,5.1 DTS-HD MA,,6.3,饮料杯历险记：草追人,,,0,
896,Apur Sansar,1959,1,Native 4K,SDR,LPCM Mono,,8.1,大树之歌,,,0,
24913,April Fool's Day,1986,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.0,恐怖愚人节,,,0,
